,Benin,Burkina Faso,Cabo Verde,Cote d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo
1960,2431617,4829289,201770,3503559,365049,6635229,3494164,616140,1118655,5263727,850377,3388774,45138460,3206757,2317638,1580508
1961,2465865,4894580,205321,3631547,372436,6848291,3552068,622754,1142304,5322269,875586,3486322,46063570,3295280,2352370,1597523
1962,2502897,4960328,210141,3770756,379886,7071966,3611428,628877,1166651,5381367,901690,3588228,47029818,3386803,2388759,1612761
1963,2542864,5027811,216087,3918630,387635,7300124,3672560,635008,1191796,5441618,928742,3693985,48032932,3481654,2426864,1631758
1964,2585961,5098891,222949,4071411,396012,7524470,3735912,641821,1217905,5503750,956794,3802802,49066762,3580241,2466671,1662073
1965,2632361,5174874,230421,4226843,405258,7739463,3801711,649795,1245104,5568495,985907,3914118,50127920,3682879,2508226,1708631
1966,2682159,5256360,238655,4383723,415478,7941418,3870204,658998,1273458,5635864,1016093,4027969,51217969,3789381,2551580,1774020
1967,2735308,5343025,247522,4544168,426622,8132803,3941046,669243,1303032,5706192,1047345,4144588,52342231,3899648,2596798,1855450
1968,2791588,5434046,256169,4713134,438590,8321773,4013050,680431,1333980,5780836,1079580,4263925,53506201,4014107,2644011,1945777
1969,2850657,5528172,263461,4897470,451228,8520018,4084601,692407,1366500,5861417,1112749,4385925,54717035,4133324,2693344,2034902
1970,2912338,5624592,268633,5102070,464404,8735493,4154606,704937,1400730,5949042,1146776,4510645,55982142,4257508,2744890,2115522
1971,2976575,5723378,271315,5328735,478106,8973247,4223056,718359,1436740,6044524,1181659,4637984,57296988,4387532,2798727,2185667
1972,3043563,5825174,271841,5576026,492424,9229640,4290544,732516,1474567,6147464,1217443,4768225,58665813,4522886,2854866,2247578
1973,3113681,5930493,271068,5841513,507428,9493552,4357357,746178,1514364,6256191,1254156,4902151,60114615,4660726,2913347,2303344
1974,3187413,6040045,270228,6121295,523250,9749098,4424030,757668,1556288,6368346,1291857,5040795,61677167,4797188,2974105,2356620
1975,3265167,6154554,270240,6412409,539985,9985946,4491248,765985,1600454,6482282,1330594,5184940,63374289,4929846,3037158,2410451
1976,3347169,6274032,271345,6713949,557810,10199164,4559239,770415,1645833,6596721,1370364,5335083,65221379,5057375,3102595,2464424
1977,3433445,6398933,273335,7026497,576755,10395453,4628881,771732,1692155,6712267,1411139,5491158,67203134,5181505,3170503,2518454
1978,3523933,6530820,276182,7350269,596540,10590265,4702371,772137,1740919,6831090,1453028,5652655,69271915,5306685,3240841,2576293
1979,3618519,6671656,279729,7685927,616770,10805318,4782491,774726,1794251,6956409,1496174,5818763,71361141,5439069,3313506,2642693
1980,3717161,6822837,283848,8033652,637252,11056112,4871446,781678,1852991,7090124,1540644,5989000,73423646,5583157,3388494,2720835
1981,3820126,6985166,288678,8393689,657581,11348287,4969595,793804,1918832,7234725,1586496,6163711,75440505,5740441,3464113,2812312
1982,3927717,7158259,294244,8764991,678111,11676828,5077073,810402,1989477,7388670,1633655,6343530,77427539,5909734,3540164,2915618
1983,4039940,7340910,300226,9144940,700198,12033559,5195443,830212,2057232,7545163,1681859,6528646,79414841,6089567,3619854,3026980
1984,4156819,7531239,306140,9530103,725688,12405659,5326369,851276,2111667,7694857,1730737,6719310,81448757,6277420,3707513,3140840
1985,4278502,7727908,311668,9918204,755791,12783617,5470716,872163,2145756,7831888,1780033,6915994,83562776,6471329,3805304,3252997
1986,4404504,7930689,316613,10307268,791141,13164839,5629420,892530,2158434,7952863,1829678,7118885,85766396,6670665,3916685,3363040
1987,4535262,8140080,321137,10698188,831011,13552021,5801323,912755,2153312,8062216,1879756,7328934,88048029,6875746,4038154,3471738
1988,4672844,8356313,325744,11094740,873440,13947047,5982484,933046,2134105,8171525,1930427,7548429,90395278,7086624,4156636,3577469
1989,4820020,8579818,331180,11502453,915631,14353409,6167480,953782,2106429,8296919,1981902,7780242,92788039,7303511,4254434,3678567
1990,4978489,8811033,337953,11924873,955595,14773274,6352282,975265,2075917,8449915,2034347,8026592,95212454,7526306,4319763,3774310
1991,5149496,9050086,346229,12362404,992671,15207360,6534936,997522,2040141,8635528,2087914,8288739,97667632,7755503,4348663,3862998
1992,5331805,9297110,355763,12812428,1027476,15653345,6716032,1020353,2001612,8850334,2142645,8566773,100161708,7990090,4347727,3945902
1993,5521761,9552473,366057,13271638,1060861,16106756,6897171,1043421,1976701,9087173,2198538,8860297,102700751,8226749,4328965,4029044
1994,5714215,9816584,376409,13735438,1094219,16561677,7081119,1066345,1986491,9334893,2255520,9168316,105293701,8461066,4309780,4120615
1995,5905552,10089880,386288,14199759,1128577,17014058,7269631,1088850,2044657,9585660,2313630,9490289,107948339,8690155,4303953,4226293
1996,6094272,10372734,395533,14665125,1164091,17462504,7463782,1110835,2160480,9837575,2372900,9826600,110668784,8912872,4312660,4348808
1997,6281644,10665552,404248,15130674,1200522,17908977,7662071,1132505,2326210,10094363,2433567,10178196,113457661,9130876,4335295,4485945
1998,6470275,10968722,412513,15589407,1238124,18357159,7860772,1154372,2517472,10360564,2496217,10545720,116319763,9347777,4381484,4632451
1999,6664102,11282696,420456,16032573,1277118,18812369,8054745,1177133,2699708,10642937,2561584,10929922,119260055,9568717,4462374,4780455
2000,6865946,11607951,428178,16454660,1317708,19278850,8240735,1201305,2848447,10946448,2630217,11331561,122283853,9797731,4584570,4924406
2001,7076728,11944589,435701,16853027,1360070,19756929,8417082,1227105,2953928,11271603,2702405,11751364,125394046,10036102,4754069,5062571
2002,7295400,12293097,442955,17231539,1404263,20246376,8586077,1254454,3024727,11616890,2778097,12189988,128596079,10283694,4965770,5197040
2003,7520556,12654624,449925,17599613,1449925,20750308,8753097,1283297,3077055,11982692,2857150,12647983,131900634,10541470,5201074,5330629
2004,7750003,13030576,456619,17970493,1496524,21272328,8925729,1313492,3135654,12369078,2939246,13125914,135320420,10810086,5433995,5467770
2005,7982223,13421935,463034,18354513,1543745,21814648,9109585,1344931,3218114,12775509,3024198,13624474,138865014,11090123,5645629,5611643
2006,8216893,13829173,469171,18754914,1591444,22379057,9307421,1377582,3329211,13203378,3111908,14143969,142538305,11382272,5829240,5762881
2007,8454790,14252029,475067,19171250,1639846,22963946,9518159,1411545,3461911,13651455,3202512,14685404,146339971,11687078,5989641,5920360
2008,8696915,14689725,480846,19605568,1689288,23563832,9738796,1446936,3607863,14113578,3296237,15250913,150269622,12004700,6133599,6083417
2009,8944713,15141098,486667,20059147,1740277,24170943,9964470,1483920,3754129,14581427,3393408,15843131,154324939,12335092,6272735,6250840
2010,9199254,15605211,492644,20532944,1793199,24779614,10192168,1522603,3891357,15049352,3494200,16464025,158503203,12678143,6415636,6421674
2011,9460829,16081915,498858,21028652,1848142,25387713,10420459,1562996,4017446,15514593,3598646,17114770,162805080,13033814,6563238,6595939
2012,9729254,16571252,505241,21547188,1905020,25996454,10652032,1604981,4135662,15979492,3706555,17795209,167228803,13401990,6712586,6773807
2013,10004594,17072791,511740,22087506,1963708,26607641,10892821,1648259,4248337,16449854,3817497,18504287,171765819,13782429,6863975,6954721
2014,10286839,17586029,518276,22647672,2024037,27224480,11150970,1692433,4359508,16934213,3930894,19240182,176404931,14174740,7017153,7137997
2015,10575962,18110616,524740,23226148,2085860,27849203,11432096,1737207,4472229,17438772,4046304,20001663,181137454,14578450,7171909,7323162
2016,10872072,18646350,531140,23822726,2149134,28481947,11738434,1782434,4586788,17965448,4163532,20788789,185960244,14993514,7328846,7509952
2017,11175192,19193236,537499,24437475,2213900,29121464,12067516,1828146,4702224,18512429,4282582,21602388,190873247,15419354,7488427,7698476
2018,11485035,19751466,543764,25069226,2280092,29767108,12414292,1874304,4818976,19077755,4403312,22442831,195874685,15854324,7650149,7889095
2019,11801151,20321383,549936,25716554,2347696,30417858,12771246,1920917,4937374,19658023,4525698,23310719,200963603,16296362,7813207,8082359
2020,12123198,20903278,555988,26378275,2416664,31072945,13132792,1967998,5057677,20250834,4649660,24206636,206139587,16743930,7976985,8278737
2021,12451031,21497097,561901,27053629,2486937,31732128,13497237,2015490,5180208,20855724,4775110,25130810,211400704,17196308,8141343,8478242
